Team Name,Team Member 1 Name,Team Member 2 Name,Team Member 3 Name,Title,Subtitle,Project Description,Project Links,Video Demo,Prizes
404s,Sayan Ghosh,Snarta Paul,Subhajit Kumar Roy,Traily,Traily is a smart Chrome extension that helps you make sense of your browsing by visually mapping your research and letting you talk to it like a personal assistant.,"Traily is a smart Chrome extension that helps you keep track of your online learning without any extra effort. As you browse articles, docs, or tutorials, Traily automatically connects related pages and turns them into a simple visual map of your research. You can then ask questions in plain language—like what you’ve already learned about a topic—and get answers based on your own browsing history. Everything stays inside your browser, so it’s private, lightweight, and designed to turn messy tabs into a clear learning journey.",https://github.com/subhajit-7047/CHROME-EXTENTION-TRAILY,https://youtu.be/m6XfmHEpOjE,
Bengal Blazers,Tousif Azim,Shreejita Biswas,,AI Stock Analyst,AI Stock Analyst is an AI-powered web application that provides intelligent stock analysis and recommendation insights using Google’s Gemini AI and real-time market data.,"We have build an AI powered Stock Analyst which povidesd quick analysis and recommendation using Gemini AI and real time market data that is provided manually by the user.It gives a clear cut verdict whether to buy,hold or avoid the stocks.",https://github.com/Tousif18/Ai-Stock-Analyst,https://drive.google.com/file/d/1XcAlN86JlikkNAagFWagLSgwXsq4fAfx/view?usp=sharing,
Kit-Kat,Rohit Ghosh,Pritam Saha,,Lecture_Lens,"Lecture_Lens is an AI-powered tool that transforms educational YouTube lectures into timestamped visual summaries, enabling faster revision through automated scene detection and Generative AI insights.","Lecture_Lens is an AI-powered application designed to make learning from long educational videos faster and more effective. Students often spend a lot of time rewatching entire lectures just to find a specific explanation or concept. Lecture_Lens solves this problem by automatically breaking down YouTube lecture videos into meaningful, easy-to-understand sections.

When a user provides a lecture video link, the system first downloads the video and uses computer vision techniques to detect important visual changes such as slide transitions, whiteboard explanations, or code demonstrations. Instead of sending the entire video to an AI model, only these key visual snapshots are selected. Each snapshot is then analyzed using a Generative AI vision model, which produces a short, clear summary explaining what is happening at that exact moment in the lecture.

The final output is a structured timeline containing timestamps, visual snapshots, and concise summaries. This allows learners to quickly scan the lecture, understand what topics are covered, and jump directly to the parts they need for revision. Lecture_Lens demonstrates how Generative AI and computer vision can work together to transform passive video lectures into organized, student-friendly study resources.",https://github.com/R0HIT-01/lecture-lens,https://youtu.be/tIQhH_j97Ho,
TEAM SOUL,BISHWAJIT SHAW,,,NEXUS,EDUCATIONAL AI AGENT,"Project Title: NEXUS AI AGENT
Tagline: Bridging the gap between standard curriculum and individual potential through a multi-agent smart classroom ecosystem.

1. Project Overview
NEXUS AI AGENT is an intelligent, multi-agent orchestration platform designed to transform traditional classrooms into dynamic, personalized learning environments. Built using advanced LLMs (like Gemini) and the Model Context Protocol (MCP), Nexus acts as a ""Digital Teaching Assistant"" that analyzes student performance in real-time to curate bespoke educational paths.

The core of Nexus lies in its ability to take a single lesson topic and automatically differentiate it into scaffolded tiers, ensuring that no student is left behind while high-performers remain challenged.

2. What We Built
We developed a fully functional agentic workflow that handles the heavy lifting of lesson planning and student monitoring:

The Orchestrator: The brain of the system that receives teacher inputs and coordinates specialized sub-agents.

The Personalization Agent: Analyzes student profiles (interests, learning gaps, and past scores) to generate three distinct versions of every lesson: Emerging, Proficient, and Advanced.

The Smart Classroom Agent: Recommends specific EdTech tool integrations (VR, IoT, or interactive boards) tailored to the day's specific activity.

Socratic Feedback Engine: An interactive layer that engages students with critical-thinking questions rather than rote memorization, facilitating true conceptual understanding.

3. Key Features
Real-time Differentiation: Automatically adjusts reading levels, vocabulary, and problem complexity based on individual student data.

Interests-Based Scaffolding: Can re-frame complex math or science problems into contexts students care about (e.g., using sports stats to teach linear equations).

Interactive Chat Interface: A student-facing portal where the AI acts as a 1:1 tutor, using the Socratic method to guide them toward answers.

Teacher Dashboard: Provides a birds-eye view of classroom progress, highlighting which students are ""stuck"" and requiring human intervention.

4. The Value Proposition
For Teachers: Reduces the administrative burden of manual differentiation by up to 80%, allowing educators to focus on emotional support and high-level mentorship.

For Students: Provides a ""safe space"" to ask questions and receive explanations that resonate with their personal learning style.

For Schools: Maximizes the utility of existing hardware (tablets, smartboards) by providing a software layer that makes these tools truly ""smart.""

5. Technical Stack
AI Engine: Google Gemini Pro / Flash (via Google AI Studio/Vertex AI).

Framework: Python / LangChain (or CrewAI/Autogen for agent orchestration).

Deployment: Vercel (Frontend) & FastAPI (Backend).

Interfacing: Streamlit / Next.js for the user dashboard.",https://github.com/biswajitsaw/NEXUS-AI-AGENT,https://youtu.be/UnIAfdZy7jI,
Mind_Matrix,Tiyasha Paul,Anurag Dey,Saikat Bera,SkillHive,"An intelligent learning platform that adapts to each student's pace, identifies learning gaps, and provides personalized recommendations, and helps in job searching using AI and machine learning algorithms.","Our student-first MVP is a smart study companion that turns your existing notes, screenshots, and video links into a tailored learning plan and bite-sized practice you can actually do every day: after a quick diagnostic it creates a realistic multi-day plan based on your exam, time availability and strengths; you can snap photos of textbook pages or handwritten sheets and the app’s OCR instantly makes them searchable and quizable; with one click the system generates exam-style practice questions and clear model answers drawn from your own materials; a context-aware chat tutor answers doubts using your uploaded notes and past mistakes, so help is specific to what you’re learning; and a simple progress dashboard and daily reminders show where you improved and what to focus on next. The result is less time hunting for resources and more time practicing the exact material you need to master—designed to help students build momentum, close knowledge gaps quickly, and feel confident on exam day.",https://github.com/Saikat-Bera04/ml-kolkata,https://youtu.be/KQTlThXM7lQ,
Arjun,Srijita Dutta,Dibyendu Chatterjee,,SecureFin,"Scalability , Security , Regulatory Compliance, all at one place.","Smart-Fin is a cutting-edge fintech application that addresses the three major challenges in the financial technology industry:

 Security: Blockchain-based immutable audit trails and cryptographic verification
 Scalability: Cloud-native architecture with auto-scaling and load balancing
Compliance: AI-powered regulatory monitoring and automated updates.
Security Layer (Blockchain)
✅ Immutable transaction logging on blockchain
✅ Smart contract-based audit trails
✅ Cryptographic signing and verification
✅ Tamper-proof record keeping
Scalability Layer (Cloud Computing)
✅ Auto-scaling infrastructure
✅ Connection pooling and caching
✅ Rate limiting and load balancing
✅ Multi-region deployment support
✅ CDN integration for static assets
Compliance Layer (AI/ML)
✅ Real-time transaction analysis using TensorFlow.js
✅ Automated AML (Anti-Money Laundering) detection
✅ KYC (Know Your Customer) verification
✅ Regulatory change detection and implementation
✅ GDPR, PSD2, SOC 2 compliance",https://studio--studio-7539031716-446f7.us-central1.hosted.app,https://youtu.be/Glgk--a1G_Q?si=-Olsm-jxcnyJ7k5k,
FraudBuster ,Soumyaneel Dey Sarkar ,SOULINA MONDAL,Anupom kundu ,Ai scam and fraud message analyser ,Helpful in detecting  phishing fake message mails chats etc.,"A full stack web application helpful in detecting fraud and scams often circulated through messages, emails , links, chats etc.",https://codepen.io/Souliy-Mondal/full/zxBxjmy.            http://localhost:5000/ ,https://youtu.be/7tN5iSwkrRo?si=Vc-dl4mP1gIZhb7n,
CosmicCoderz ,Manish Bera,Sayan Ghanty,Arnab Paul,TruthNet,"The AI-Powered Fraud Detection & Content Authenticity Platform is the next generation in cybersecurity applications designed to combat digital fraud, misinformation, and online scams in real time. In a world where AI-generated content, phishing attacks, and fraudulent payment schemes continue to rise, this platform offers a unified intelligent system for verifying digital trust across media, links, and transactions."," An AI-powered Fraud Detection and Content Authenticity Platform to help fight digital fraud, misinformation, and online scams in real time. While AI-generated content, phishing attacks, and fraudulent payment schemes continue to rise, this platform offers a single intelligent system through which users can verify digital trust across media, links, and transactions.

It uses advanced AI models-Gemini through Lovable AI-to scan images, videos, and QR codes, as well as URLs and payment requests that have been uploaded, for authenticity, manipulation, or maliciousness. Every analysis comes back with a risk score, confidence level, and a human-readable explanation to provide transparency and trust in AI decisions.

With the integration of blockchain-based verification, cryptographic hashes of verified content are stored on Ethereum/Polygon to ensure long-term tamper resistance and authenticity, thus acting as an immutable proof of originality. Therefore, it will be apt for use in legal, journalistic, financial, and forensic casework.

Built on a modern, animated web interface, real-time alerts, and a context-aware AI chatbot, the platform detects fraud but also educates users on how scams work and how to stay protected.

Key Competencies

It detects AI-generated images, deepfakes, and other manipulated media.

Identifies phishing URLs, malicious QR codes, and scam payment requests

Provides the checking of authenticity with blockchain support.

Sends real-time fraud alerts

Includes an AI chatbot, giving explanations and guiding the student.

Ensures users privacy by secure authentication and data isolation.

Impact & Use Cases

Misinformation control for media and journalism

Scam prevention for individuals and businesses

Obtain secure digital verification for finance and legal industries.

Cyber awareness & education for daily users

Conclusion

It acts like a digital trust engine, merging AI, blockchain, and real-time security intelligence on one platform. It empowers users to navigate the modern digital world with confidence by making fraud detection accessible, explainable, and tamper-proof.",https://trruthnet.lovable.app/,https://drive.google.com/drive/folders/19YXTJSntViIalJeyFJQAI4QY3TW3B3Q2,
ZenX,Soumadeep Maity,Soumalya Roy,Ujan Chakraborti,LearnZen - AI Personal Study Mentor,"LearnZen is an AI-powered personal study mentor that uses Gemini 3 to create realistic, personalized study plans based on a student’s syllabus, available time, and exam deadlines.","# LearnZen - AI-Powered Study Mentor

## 🎯 Project Overview

**LearnZen** is an intelligent, AI-powered study companion that revolutionizes the way students learn by providing personalized, adaptive, and interactive learning experiences. Built with Google's Gemini AI, LearnZen serves as a 24/7 personal tutor that understands your learning style, adapts to your pace, and helps you master any subject efficiently.

## 💡 The Problem We're Solving

Students today face several challenges in their learning journey:
- **Lack of personalized attention** in traditional classroom settings
- **Limited access** to tutors and learning resources outside school hours
- **One-size-fits-all** educational approaches that don't adapt to individual learning styles
- **Difficulty understanding** complex concepts without immediate feedback
- **No structured way** to track progress and identify knowledge gaps

LearnZen addresses these pain points by providing an intelligent, always-available study mentor that adapts to each student's unique needs.

## 🚀 What We Built

### Core Features

#### 1. **Intelligent Conversational Learning**
- Natural language interactions with Google Gemini AI
- Ask questions in your own words and receive detailed, contextual explanations
- Follow-up questions and clarifications for deeper understanding
- Multi-turn conversations that maintain context throughout study sessions

#### 2. **Adaptive Learning Pathways**
- AI analyzes your responses and understanding level
- Dynamically adjusts difficulty and pacing based on your progress
- Provides additional resources when you're struggling
- Accelerates learning when you're excelling

#### 3. **Multi-Subject Support**
- Covers a wide range of subjects from mathematics to literature
- Domain-specific explanations tailored to each subject
- Cross-subject connections to enhance comprehensive understanding
- Support for multiple educational levels (primary, secondary, higher education)

#### 4. **Interactive Study Sessions**
- Real-time Q&A with instant, accurate responses
- Practice problems with step-by-step solutions
- Concept explanations with examples and analogies
- Visual learning aids and conceptual breakdowns

#### 5. **Smart Study Assistant**
- Generates custom practice questions based on topics
- Provides study tips and memorization techniques
- Suggests optimal learning strategies for different subjects
- Breaks down complex topics into manageable chunks

#### 6. **Progress Tracking & Analytics**
- Monitors your learning progress over time
- Identifies strengths and areas for improvement
- Provides insights into study patterns and habits
- Recommends focus areas for maximum learning efficiency

### Technical Architecture

**Frontend:**
- **React** with TypeScript for type-safe, maintainable code
- **Vite** for lightning-fast development and optimized production builds
- Modern, responsive UI that works seamlessly across devices
- Component-based architecture for scalability

**AI Integration:**
- **Google Gemini API** for advanced natural language processing
- Intelligent prompt engineering for optimal learning experiences
- Context management for coherent multi-turn conversations
- Real-time response streaming for immediate feedback

**Development Stack:**
- TypeScript for enhanced code quality and developer experience
- Modern ES6+ JavaScript features
- Modular service architecture for API interactions
- Clean separation of concerns (components, services, types)

## 🎨 User Experience

### Intuitive Interface
- Clean, distraction-free design that puts learning first
- Easy navigation between different study topics
- Responsive layout that works on desktop, tablet, and mobile
- Accessible design following modern web standards

### Seamless Interaction Flow
1. **Choose Your Topic** - Select what you want to learn
2. **Start Conversation** - Ask questions naturally
3. **Receive Guidance** - Get personalized explanations
4. **Practice & Improve** - Test your understanding
5. **Track Progress** - Monitor your learning journey

## 🌟 Value Proposition

### For Students
- **24/7 Availability** - Learn anytime, anywhere, at your own pace
- **Personalized Learning** - Content adapted to your level and style
- **Immediate Feedback** - No waiting for answers or clarifications
- **Safe Learning Environment** - Ask questions without judgment
- **Cost-Effective** - Accessible alternative to expensive private tutoring

### For Educators
- **Supplementary Tool** - Enhances traditional teaching methods
- **Scalable Support** - Helps reach more students effectively
- **Insight into Learning** - Understand common student challenges
- **Frees Up Time** - Reduces repetitive question-answering

### For Parents
- **Peace of Mind** - Reliable homework help available anytime
- **Monitor Progress** - Track your child's learning development
- **Quality Education** - AI-powered guidance from advanced technology
- **Affordable Solution** - Cost-effective compared to traditional tutoring

## 🔧 Technical Innovation

### AI-Powered Intelligence
- Leverages Google Gemini's advanced language understanding
- Contextual awareness for coherent conversations
- Adaptive response generation based on user comprehension
- Continuous learning from interaction patterns

### Performance Optimization
- Fast load times with optimized bundle sizes
- Efficient API calls to minimize latency
- Responsive UI updates for smooth user experience
- Progressive web app capabilities for offline support

### Scalability & Maintainability
- Modular architecture allows easy feature additions
- TypeScript ensures code reliability and refactoring safety
- Component reusability reduces development time
- Clean code practices for long-term maintenance

## 🎓 Educational Impact

### Democratizing Education
LearnZen makes quality education accessible to students regardless of:
- Geographic location
- Socioeconomic background
- Time zone or schedule constraints
- Availability of local tutors or resources

### Promoting Self-Directed Learning
- Encourages curiosity-driven exploration
- Builds confidence through non-judgmental interactions
- Develops critical thinking skills
- Fosters independent problem-solving abilities

### Supporting Diverse Learning Styles
- Visual learners get diagrams and examples
- Auditory learners can engage in conversational learning
- Kinesthetic learners can practice and experiment
- Reading/writing learners get detailed explanations

## 🚀 Future Roadmap

### Short-Term Goals
- Enhanced visual learning with diagram generation
- Voice interaction for hands-free learning
- Study group collaboration features
- Mobile app for iOS and Android
- Offline mode with cached content

### Long-Term Vision
- Integration with school curricula and syllabi
- Gamification with achievements and leaderboards
- Virtual study rooms for collaborative learning
- Advanced analytics dashboard for teachers
- Multi-language support for global accessibility
- AR/VR integration for immersive learning experiences

## 🏆 Why LearnZen Stands Out

### Innovation
- Cutting-edge AI technology applied to education
- Novel approach to personalized learning at scale
- Seamless integration of AI into study workflows

### Execution
- Polished, production-ready application
- Robust error handling and user experience
- Deployed and accessible for immediate use
- Clean, maintainable codebase

### Impact
- Addresses real educational challenges
- Scalable solution with broad applicability
- Potential to reach millions of students globally
- Measurable improvement in learning outcomes

### Technical Excellence
- Modern tech stack and best practices
- Type-safe implementation with TypeScript
- Efficient API usage and performance optimization
- Well-documented and maintainable code

## 📊 Success Metrics

We measure LearnZen's success through:
- **Student Engagement** - Session duration and return rate
- **Learning Outcomes** - Improvement in understanding and retention
- **User Satisfaction** - Feedback and ratings from students
- **Accessibility** - Number of students reached across demographics
- **Technical Performance** - Response time, uptime, and reliability

## 🌍 Real-World Applications

### Use Cases
- **Homework Help** - Instant assistance with assignments
- **Exam Preparation** - Focused study sessions before tests
- **Concept Clarification** - Understanding difficult topics
- **Self-Paced Learning** - Exploring new subjects independently
- **Language Learning** - Practice and conversation
- **Skill Development** - Learning practical skills and techniques

## 🎯 Call to Action

LearnZen represents the future of education—personalized, accessible, and powered by AI. We're not just building an app; we're creating a learning revolution that empowers every student to reach their full potential.

**Try LearnZen Today:** [https://realsxum.github.io/LEARNZEN-upgraded/](https://realsxum.github.io/LEARNZEN-upgraded/)

---

*Built with ❤️ using Google Gemini AI | Making quality education accessible to everyone*",https://github.com/realsxum/LEARNZEN-upgraded,N/A,
AIML TINKERS,SAMRIDHA BANERJEE,RHITAM MANDAL,SOUMYADIP,AgroPredict AI,Empowering Farmers with AI-Driven Crop Predictions,"Harnessing the power of Random Forest and XGBoost to deliver hyper-local crop yield predictions & Empowering farmers, planners, and insurers with certainty in an uncertain climate. Our AI powered solution provides: Accurate crop yield predictions (90%+ accuracy), Real-time analysis of soil, weather, and crop data, Optimized resource allocation and planning, Data-driven decisions for sustainable farming, etc.
",https://github.com/SAMRIDHABANERJEE/AGRO-PREDICT-AI,https://youtu.be/Vw7Kql7eSzQ?si=AcCj29JswCaFTYtO,
Qumtum Crew,Somya Ranjan Bhoi,Ayan Ghosh,Ankan Ghosh,Study-with-me,StudyWithMe helps students truly understand concepts by adapting explanations to their learning depth while maintaining academic integrity in assignments.,"StudyWithMe is an ethical, depth-driven AI learning platform designed to act like a real teacher, tutor, and learning companion for students. Instead of simply giving answers, it focuses on helping students understand concepts at their own level, practice what they learn, and receive guidance on assignments without breaking academic integrity.

Most existing AI tools provide the same explanation to everyone and often give direct solutions, which leads to memorization and copying rather than real learning. StudyWithMe solves this problem by allowing students to choose how deeply they want to learn and by strictly separating learning support from answer generation.

The platform offers three learning depth levels:

Core – For beginners who need simple explanations, intuition, and fundamentals

Applied – For students who want step-by-step reasoning and practice

Mastery – For advanced learners who want deeper logic, assumptions, and edge cases

Based on the selected depth, StudyWithMe adapts how much explanation, reasoning, and detail it provides.

StudyWithMe also supports two modes of interaction:

Interactive Learning Mode
In this mode, the AI teaches concepts step by step, using examples and explanations that match the student’s depth level. It explains mathematics using equations, programming using code, and science using formulas—so students learn in the natural language of the subject, not just English text.

Assignment Help Mode (Ethical by Design)
In this mode, the AI never gives direct answers or fully solved code. Instead, it provides hints, breaks down the problem, explains the underlying concepts, and asks guiding questions. This ensures students learn while solving, rather than copying answers.

A key strength of StudyWithMe is its Ethics Guard, a rule-based system that prevents cheating and enforces responsible AI behavior. This makes the platform safe for real academic environments such as schools, colleges, and institutions.

Technically, StudyWithMe uses a Node.js backend to control all AI behavior and enforce rules, and a Next.js frontend to provide a clean, student-friendly interface. The AI model is used as a constrained reasoning engine, meaning it follows strict system instructions and does not decide learning depth or ethics on its own.

In summary, StudyWithMe is not an answer generator.
It is a depth-aware, ethical learning companion built to help students grow academically by understanding concepts properly, practicing independently, and solving assignments the right way.",https://github.com/ankan288/Studywithme.git,https://youtu.be/_1ShRqCXi70,
Tech-Titan,Ayush Pratap Singh ,Bishal kumar ,Anirban chandra ,HealthBuddy chatbot,"HealthBuddy AI is an intelligent virtual assistant that provides instant, personalized health guidance, symptom insights, and wellness support using artificial intelligence.","HealthBuddy AI is a smart, user-friendly health assistant that allows users to ask health-related questions, check symptoms, receive basic medical guidance, and get wellness tips instantly using AI, helping people make informed health decisions anytime, anywhere. ",https://github.com/ayu1234-dot/HealthBuddy-Chatbot,https://youtu.be/i_wIXBVped8?si=TyTNna80-hDphCB3,
Team PMPN,Prinjal Mistry,Priyam Naskar,,Vibe Check AI,Checks up your vibe and fashion and makes your looks better with AI,"Vibe Check AI is an intelligent fashion assistant designed to help users choose the right clothing size and style with confidence while shopping online. Many people hesitate to buy clothes online because they are unsure how an outfit will actually fit their body. This project addresses that problem by combining video input and artificial intelligence to provide personalized fashion advice.

The user simply uploads a short full-body walking video and pastes the link of a dress or outfit they want to buy from platforms like Amazon, Flipkart, or Myntra. The system then uses an AI stylist powered by Google Gemini to analyze the product details and generate a detailed fit recommendation. It evaluates fabric quality, predicts how different sizes (XS to XXL) may fit, assigns a fit score, recommends the best size, and suggests similar outfits suitable for the user’s body type. A price comparison in Indian Rupees is also provided for better decision-making.

The application is built using Streamlit for a clean, mobile-friendly interface and focuses on clarity and usability rather than complexity. While the current version uses simulated body analysis, it is designed to support real-time posture, height, and body shape detection in future versions. Vibe Check AI demonstrates how AI can enhance online shopping by making fashion advice more personalized, practical, and accessible.",https://github.com/PRIME-BN1000/ML_hackathon,https://youtu.be/Mg6ENrZCTNA?si=9cJKULYDyaG4EDGV,
suicideCode,Shreyas Guha Neogi,Samriddha Chaudhury ,,bonVoyage,"Travel like an Insider, Book like a Pro","This is a prototype of a flight booking sim. Booking a flight today is a friction-heavy ordeal of rigid filters, endless date pickers, and clunky forms. This cognitive load excludes non-tech-savvy users and frustrates frequent travelers. TripMe solves this by dismantling the traditional booking UI entirely, replacing it with only the key information required. It is easy to use, and simple. It gives us all the possible flights in accordance to our given details.
Now, we can select any flight according to our preference and skip the hassle of finding cheap flights.",https://github.com/shrguhaneogi-pixel/bonVoyage,https://www.youtube.com/watch?v=juqGDd_ygJU,
Suicide Coders,Samriddha Chaudhury,Shreyas Guha Neogi,Debarghya Ray,TripMe,Killing the dropdown menu with the details that turn complex travel intent into instant bookings,"This is a prototype of a flight booking sim. Booking a flight today is a friction-heavy ordeal of rigid filters, endless date pickers, and clunky forms. This cognitive load excludes non-tech-savvy users and frustrates frequent travelers. TripMe solves this by dismantling the traditional booking UI entirely, replacing it with only the key information required. It is easy to use, and simple. It gives us all the possible flights in accordance to our given details. Now, we can select any flight according to our preference and skip the hassle of finding cheap flights.",https://samriddha0207.github.io/GenAI-Flight-Booking-Sim/,https://www.youtube.com/watch?v=juqGDd_ygJU,
CyberTronz,Archita Mandal,Poulami Roy,Rahul Thakur,4,"The Social Shield is an online chatbot that employs AI to immediately scan pasted copies or links to social media messages to determine whether they are safe, suspicious, or have high levels of scams.","We developed the Social Shield, a web-based system for evaluating social media scams. With our system, a user who is a victim or is a potential victim can quickly identify whether they are being scammed. The system consists of a simple chatbot interface in which a user posts a social media message or link, and in return, receives a rapid analysis of whether the posted content is a phishing attempt or not. This system is powered by a hybrid artificial intelligence algorithm, where the algorithm combines the use of predefined rules for the existence of scams in social media with TF-IDF, a machine-learning algorithm for analyzing messages. The result is a clear indication of whether a given post is Low, Medium, or High risk for scams.",https://social-shield-upgraded.vercel.app/,https://youtu.be/91_gXyfDV54,
Dhruv.AI,Kundan Raj Singh,Vishal Kumar Dangi,,A.I driven Drone system.,A.I driven Drone system for pesticide spraying  after diseases detection and give farmer support. ,"This project integrates Generative AI to automate two high-impact workflows:

1.Multi-Article Intelligence from a Single Link
2.AI-Driven Cold Email Generation for Tech Collaborations",https://github.com/kundansinghrajput16/Gen-AI-Hackthon ,https://youtu.be/bufd3IM8PNo,
FRAUDBUSTER ,SOUMYANEEL Dey sarkar ,soulina mondal,Anupom Kundu ,AI Scam and fraud message analyser ,"It helps in detection of scams in message, emails chats etc","It reduces phising by helping in detection of scams in message, emails chats etc",https://github.com/soulina-34/fraudanalyzer-ai,https://youtu.be/7tN5iSwkrRo?si=Vc-dl4mP1gIZhb7n,
CyberTronz,Archita Mandal,Poulami  Roy,Rahul Thakur,Social Media Scam Detector,5,"We built Social Shield, a web-based social media scam detector that helps users quickly identify phishing messages, fake giveaways, and impersonation scams before they become victims. The platform uses a simple chatbot-style interface where users can paste any suspicious message, post, or link, and receive an instant analysis. Using a hybrid AI approach—combining rule-based scam pattern detection with machine learning (TF-IDF–based text classification)—the system evaluates common red flags such as urgent language, requests for personal information, fake rewards, and suspicious links. It then clearly classifies the content into Low, Medium, or High scam risk, explains why it may be risky, and provides safety recommendations. Our focus was on real-time detection, ease of use for non-technical users, and privacy, making scam awareness accessible to everyone.",https://github.com/mandalarabinda349-boop/Social-Shield,https://youtu.be/ONn3VNMo6C8,
Agile&Empathy,PRITAM ADAK,,,A Decision-First Agent with Emotional Cognition,"An agentic AI system that decides whether and how to respond using emotional state, cognitive signals, and priority scheduling before calling an LLM.","It is a decision-first agentic AI backend designed to model how an assistant should act before generating language.
Instead of directly prompting a large language model, the system first performs emotion detection, semantic embedding, and slow-moving cognitive state tracking (stability, agency, cognitive load, and recurrence). These signals are fused into a priority score that feeds a Fibonacci-heap–based decision scheduler.

Each possible action (such as responding supportively or remaining silent) is treated as a schedulable decision with an explicit priority. Only after a decision is selected does the system optionally invoke a language model, making the LLM a tool rather than the agent’s reasoning core.

This architecture demonstrates how agent behavior can be governed by internal cognition and intentional control, enabling restraint, transparency, and extensibility beyond prompt-based chatbots.",https://github.com/PRITAMADAK11/my-first-repo,https://youtube.com/shorts/RuA8TwIYTXM?si=kpFS0j7XWIR9pvJg,